,dataset,lambda,mean,std,sem,ci,lower,upper
145,iris,3.0,57.666666666666664,6.220039299625759,1.9669491322575907,3.9028538109808055,53.763812855685856,61.56952047764747
146,wine,3.0,94.1011235955056,0.3768653894662575,0.11917530019998018,0.23646965085793678,93.86465394464766,94.33759324636354
147,seeds,3.0,85.28571428571429,0.7206069500200756,0.22787592598105566,0.4521552751723485,84.83355901054195,85.73786956088664
148,breast_cancer,3.0,93.18101933216168,0.456942003514942,0.1444977489707882,0.28671488296268427,92.894304449199,93.46773421512437
149,mnist,3.0,60.45000000000001,2.6031711430484146,0.8231949951256985,1.6333974637255184,58.816602536274495,62.083397463725525
150,iris,4.0,65.26666666666667,11.25245652192346,3.5583391881294535,7.060516936304105,58.20614973036256,72.32718360297078
151,wine,4.0,93.87640449438202,0.3025373487154197,0.09567070992093424,0.18983144438798763,93.68657304999402,94.06623593877
152,seeds,4.0,83.76190476190477,0.3333333333333316,0.10540925533894542,0.20915483128944262,83.55274993061533,83.97105959319421
153,breast_cancer,4.0,93.00527240773286,0.5201633949718397,0.16449010835567898,0.3263840613548383,92.67888834637802,93.3316564690877
154,mnist,4.0,59.53000000000001,2.6765836433782484,0.8464100661027123,1.6794612010885863,57.85053879891142,61.209461201088594
155,iris,5.0,57.266666666666666,12.326845140225911,3.898090700729155,7.7346576469051485,49.53200901976152,65.00132431357181
156,wine,5.0,93.70786516853931,0.4204109423341481,0.13294561310336134,0.2637929391484044,93.44407222939091,93.97165810768772
157,seeds,5.0,83.71428571428572,0.2857142857142833,0.09035079029052435,0.17927556967666453,83.53501014460906,83.89356128396238
158,breast_cancer,5.0,93.19859402460456,0.8430358492240091,0.2665913432722162,0.5289750624462015,92.66961896215835,93.72756908705077
159,mnist,5.0,57.17,2.0650907970353254,0.6530390493684122,1.295771151753919,55.874228848246084,58.46577115175392
160,iris,6.0,66.93333333333332,10.613199329137284,3.3561883141444864,6.6594057453808375,60.273927587952485,73.59273907871416
161,wine,6.0,93.08988764044943,0.3597260807546522,0.11375537489503629,0.22571534319195624,92.86417229725748,93.31560298364138
162,seeds,6.0,83.23809523809524,0.3563483225499048,0.11268723396380398,0.22359591984960484,83.01449931824564,83.46169115794484
163,breast_cancer,6.0,93.70826010544816,0.421792618629177,0.13338253751149673,0.26465989196555456,93.44360021348261,93.97291999741371
164,mnist,6.0,59.02,3.456385395178033,1.0930050320103748,2.1687591125992762,56.85124088740073,61.18875911259928
165,iris,7.0,59.46666666666667,9.441280515786923,2.985595045845598,5.924068300307178,53.54259836635949,65.39073496697385
166,wine,7.0,92.97752808988766,0.5756713913460413,0.1820432780451635,0.36121335820542183,92.61631473168224,93.33874144809307
167,seeds,7.0,83.42857142857143,0.3563483225499017,0.112687233963803,0.22359591984960286,83.20497550872183,83.65216734842103
168,breast_cancer,7.0,93.53251318101933,0.5656758150942394,0.1788823992970052,0.35494148901166256,93.17757169200766,93.88745467003099
169,mnist,7.0,55.98499999999999,2.1440673963287633,0.6780136429305831,1.3453261636570182,54.63967383634297,57.33032616365701
170,iris,8.0,57.46666666666667,6.705221845696086,2.120377324911772,4.207288631684572,53.2593780349821,61.67395529835124
171,wine,8.0,92.97752808988766,0.5756713913460413,0.1820432780451635,0.36121335820542183,92.61631473168224,93.33874144809307
172,seeds,8.0,82.95238095238098,0.4151332327181647,0.1312766547818133,0.2604813637554273,82.69189958862555,83.21286231613641
173,breast_cancer,8.0,93.72583479789104,0.4653146676581287,0.1471454178483974,0.2919684324316184,93.43386636545942,94.01780323032266
174,mnist,8.0,56.895,2.3400267092492752,0.739981418685631,1.468283674757473,55.42671632524253,58.363283674757476
175,iris,9.0,54.86666666666666,5.62573451994394,1.7790134594456801,3.529948663194223,51.336718003472434,58.396615329860886
176,wine,9.0,92.92134831460676,0.5729235408531184,0.1811743314224382,0.35948917958665405,92.5618591350201,93.28083749419342
177,seeds,9.0,83.76190476190476,2.422962711087344,0.7662080852692519,1.5203230711742597,82.2415816907305,85.28222783307902
178,breast_cancer,9.0,93.37434094903338,0.5448154657293527,0.1722857776190163,0.3418523604555074,93.03248858857788,93.71619330948889
179,mnist,9.0,54.77499999999999,1.9097447473419045,0.603914315114321,1.1982970213085922,53.5767029786914,55.97329702130858
180,iris,10.0,60.73333333333333,10.56808612968519,3.3419222678638785,6.631098814519849,54.102234518813475,67.36443214785318
181,wine,10.0,93.03370786516857,0.4494382022471882,0.1421248386592521,0.2820065140981246,92.75170135107044,93.3157143792667
