dataset,r,mean,std,k
CIFAR_simclr_pca,,78.22910000000002,0.010532655985327453,200.0
FMNIST_raw,,59.22741666666667,3.8092063944164485,200.0
FMNIST_vae,,58.03166666666667,1.741036190762232,200.0
FMNIST_simclr,,60.24458333333333,2.8618575468427947,200.0
FMNIST_simclr_pca,,58.65741666666666,2.3384521843349844,200.0
MNIST_raw,,62.73916666666668,2.122886461830817,200.0
MNIST_vae,,83.05266666666665,5.9436905807165195,200.0
MNIST_simclr,,89.32783333333332,7.387581291544707,200.0
MNIST_simclr_pca,,86.85158333333332,4.759317315380381,200.0
CIFAR_raw,,21.027300000000004,0.05521355668769417,250.0
CIFAR_vae,,24.576900000000002,0.10432636039699775,250.0
CIFAR_simclr,,79.12079999999999,0.8004683891980142,250.0
CIFAR_simclr_pca,,77.6845,0.9171552987936465,250.0
FMNIST_raw,,61.41766666666668,3.0056405258713546,250.0
FMNIST_vae,,56.727,1.6110549738152846,250.0
FMNIST_simclr,,61.43724999999999,3.2905075807371866,250.0
FMNIST_simclr_pca,,60.729083333333335,3.4520956206305464,250.0
MNIST_raw,,60.213249999999995,3.966053707431847,250.0
MNIST_vae,,80.36333333333334,4.747898858153096,250.0
MNIST_simclr,,96.11608333333336,1.9927092459485614,250.0
MNIST_simclr_pca,,88.72883333333334,6.088049892307718,250.0
CIFAR_raw,,20.9913,0.20482626784668043,300.0
CIFAR_vae,,24.6388,0.28897816344382804,300.0
CIFAR_simclr,,78.201,3.026204257899046,300.0
CIFAR_simclr_pca,,75.76690000000002,2.680825047786989,300.0
FMNIST_raw,,61.65825000000001,1.3234681617425463,300.0
FMNIST_vae,,56.278166666666664,0.741317757472367,300.0
FMNIST_simclr,,61.20291666666667,2.7604320406721827,300.0
FMNIST_simclr_pca,,60.14991666666667,2.3249216471108602,300.0
MNIST_raw,,60.41533333333334,4.3509764515418095,300.0
MNIST_vae,,82.65591666666664,5.6735168728171015,300.0
MNIST_simclr,,96.51291666666665,0.0007404360972045054,300.0
MNIST_simclr_pca,,90.26275000000001,6.383332698341777,300.0
CIFAR_raw,,20.9657,0.27371385365781353,350.0
